year,winner_party,H_incumbent_party,H_incumbent_party_majorvote_pct,quarter_cycle,GDP_growth_pct,D_majorvote_pct,R_majorvote_pct,state,Month,percent
1978,D,D,54.31,8,1.344146379,54.31,45.69,Alabama,10,6.5
1978,D,D,54.31,8,1.344146379,54.31,45.69,Alaska,10,10.2
1978,D,D,54.31,8,1.344146379,54.31,45.69,Arizona,10,5.7
1978,D,D,54.31,8,1.344146379,54.31,45.69,Arkansas,10,6.4
1978,D,D,54.31,8,1.344146379,54.31,45.69,California,10,6.8
1978,D,D,54.31,8,1.344146379,54.31,45.69,Los Angeles County,10,6.2
1978,D,D,54.31,8,1.344146379,54.31,45.69,Colorado,10,5.1
1978,D,D,54.31,8,1.344146379,54.31,45.69,Connecticut,10,5.1
1978,D,D,54.31,8,1.344146379,54.31,45.69,Delaware,10,7.2
1978,D,D,54.31,8,1.344146379,54.31,45.69,District of Columbia,10,7.9
1978,D,D,54.31,8,1.344146379,54.31,45.69,Florida,10,6.6
1978,D,D,54.31,8,1.344146379,54.31,45.69,Georgia,10,5.8
1978,D,D,54.31,8,1.344146379,54.31,45.69,Hawaii,10,6.8
1978,D,D,54.31,8,1.344146379,54.31,45.69,Idaho,10,5.8
1978,D,D,54.31,8,1.344146379,54.31,45.69,Illinois,10,5.7
1978,D,D,54.31,8,1.344146379,54.31,45.69,Indiana,10,5.5
1978,D,D,54.31,8,1.344146379,54.31,45.69,Iowa,10,3.9
1978,D,D,54.31,8,1.344146379,54.31,45.69,Kansas,10,3
1978,D,D,54.31,8,1.344146379,54.31,45.69,Kentucky,10,5.2
1978,D,D,54.31,8,1.344146379,54.31,45.69,Louisiana,10,6.1
1978,D,D,54.31,8,1.344146379,54.31,45.69,Maine,10,6.3
1978,D,D,54.31,8,1.344146379,54.31,45.69,Maryland,10,5.5
1978,D,D,54.31,8,1.344146379,54.31,45.69,Massachusetts,10,6
1978,D,D,54.31,8,1.344146379,54.31,45.69,Michigan,10,7
1978,D,D,54.31,8,1.344146379,54.31,45.69,Minnesota,10,3.8
1978,D,D,54.31,8,1.344146379,54.31,45.69,Mississippi,10,6.7
1978,D,D,54.31,8,1.344146379,54.31,45.69,Missouri,10,4.5
1978,D,D,54.31,8,1.344146379,54.31,45.69,Montana,10,5.3
1978,D,D,54.31,8,1.344146379,54.31,45.69,Nebraska,10,2.8
1978,D,D,54.31,8,1.344146379,54.31,45.69,Nevada,10,4.6
1978,D,D,54.31,8,1.344146379,54.31,45.69,New Hampshire,10,3.5
1978,D,D,54.31,8,1.344146379,54.31,45.69,New Jersey,10,7
1978,D,D,54.31,8,1.344146379,54.31,45.69,New Mexico,10,6
1978,D,D,54.31,8,1.344146379,54.31,45.69,New York,10,7.5
1978,D,D,54.31,8,1.344146379,54.31,45.69,New York city,10,8.8
1978,D,D,54.31,8,1.344146379,54.31,45.69,North Carolina,10,4.3
1978,D,D,54.31,8,1.344146379,54.31,45.69,North Dakota,10,4.3
1978,D,D,54.31,8,1.344146379,54.31,45.69,Ohio,10,5.4
1978,D,D,54.31,8,1.344146379,54.31,45.69,Oklahoma,10,3.3
1978,D,D,54.31,8,1.344146379,54.31,45.69,Oregon,10,6.6
1978,D,D,54.31,8,1.344146379,54.31,45.69,Pennsylvania,10,6.8
1978,D,D,54.31,8,1.344146379,54.31,45.69,Rhode Island,10,6.2
1978,D,D,54.31,8,1.344146379,54.31,45.69,South Carolina,10,5.5
1978,D,D,54.31,8,1.344146379,54.31,45.69,South Dakota,10,3.2
1978,D,D,54.31,8,1.344146379,54.31,45.69,Tennessee,10,5.9
1978,D,D,54.31,8,1.344146379,54.31,45.69,Texas,10,4.7
1978,D,D,54.31,8,1.344146379,54.31,45.69,Utah,10,3.6
1978,D,D,54.31,8,1.344146379,54.31,45.69,Vermont,10,5.4
1978,D,D,54.31,8,1.344146379,54.31,45.69,Virginia,10,5.2
1978,D,D,54.31,8,1.344146379,54.31,45.69,Washington,10,6.9
1978,D,D,54.31,8,1.344146379,54.31,45.69,West Virginia,10,6.3
1978,D,D,54.31,8,1.344146379,54.31,45.69,Wisconsin,10,5.1
1978,D,D,54.31,8,1.344146379,54.31,45.69,Wyoming,10,3.1
1980,D,D,51.28,8,1.864925127,51.28,48.72,Alabama,10,9.6
1980,D,D,51.28,8,1.864925127,51.28,48.72,Alaska,10,9.8
1980,D,D,51.28,8,1.864925127,51.28,48.72,Arizona,10,6.7
1980,D,D,51.28,8,1.864925127,51.28,48.72,Arkansas,10,8.2
1980,D,D,51.28,8,1.864925127,51.28,48.72,California,10,7.1
1980,D,D,51.28,8,1.864925127,51.28,48.72,Los Angeles County,10,7.2
1980,D,D,51.28,8,1.864925127,51.28,48.72,Colorado,10,6.4
1980,D,D,51.28,8,1.864925127,51.28,48.72,Connecticut,10,6.2
1980,D,D,51.28,8,1.864925127,51.28,48.72,Delaware,10,7.9
1980,D,D,51.28,8,1.864925127,51.28,48.72,District of Columbia,10,8.2
1980,D,D,51.28,8,1.864925127,51.28,48.72,Florida,10,6.4
1980,D,D,51.28,8,1.864925127,51.28,48.72,Georgia,10,6.3
1980,D,D,51.28,8,1.864925127,51.28,48.72,Hawaii,10,5.2
1980,D,D,51.28,8,1.864925127,51.28,48.72,Idaho,10,7.7
1980,D,D,51.28,8,1.864925127,51.28,48.72,Illinois,10,8.9
1980,D,D,51.28,
